전철역코드,전철역명,호선,외부코드
232,구로디지털단지,02호선,232
234,신도림,02호선,234
235,문래,02호선,235
236,영등포구청,02호선,236
203,을지로3가,02호선,203
204,을지로4가,02호선,204
205,동대문역사문화공원,02호선,205
206,신당,02호선,206
207,상왕십리,02호선,207
208,왕십리,02호선,208
209,한양대,02호선,209
210,뚝섬,02호선,210
211,성수,02호선,211
212,건대입구,02호선,212
213,구의,02호선,213
214,강변,02호선,214
215,잠실나루,02호선,215
420,혜화,04호선,420
1007,신도림,01호선,140
1701,구로,01호선,141
340,가락시장,03호선,350
411,노원,04호선,411
423,충무로,04호선,423
1003,용산,01호선,135
1405,배방,01호선,P174
1451,경마공원,04호선,436
413,쌍문,04호선,413
424,명동,04호선,424
1002,남영,01호선,134
1719,오산,01호선,P160
1822,중동,01호선,149
2513,김포공항,05호선,512
2517,우장산,05호선,516
1705,관악,01호선,P146
1806,부평,01호선,152
1808,동암,01호선,154
1809,주안,01호선,156
1811,동인천,01호선,160
1815,부개,01호선,151
1910,덕계,01호선,106
2515,마곡,05호선,514
2526,신길,05호선,525
1403,아산,01호선,P172
1453,과천,04호선,438
1457,범계,04호선,442
1729,당정,01호선,P151
1758,초지,04호선,452
1955,마두,03호선,312
1957,주엽,03호선,310
1958,대화,03호선,309
2519,까치산,05호선,518
1454,정부과천청사,04호선,439
1710,의왕,01호선,P152
1716,병점,01호선,P157
1727,두정,01호선,P168
1749,서동탄,01호선,P157-1
1759,안산,04호선,453
1762,오이도,04호선,456
1810,제물포,01호선,158
2549,강동,05호선,548
2553,고덕,05호선,552
1717,세마,01호선,P158
1723,평택지제,01호선,P164
1760,신길온천,04호선,454
1801,개봉,01호선,143
1807,백운,01호선,153
2538,청구,05호선,537
2562,강일,05호선,554
2625,광흥창,06호선,624
2626,대흥,06호선,625
2630,녹사평,06호선,629
1702,가산디지털단지,01호선,P142
1704,석수,01호선,P145
1706,안양,01호선,P147
1707,명학,01호선,P148
1708,금정,01호선,P149
1709,군포,01호선,P150
1711,성균관대,01호선,P153
1750,광명,01호선,P144-1
1761,정왕,04호선,455
1802,오류동,01호선,144
1907,가능,01호선,109
1908,녹양,01호선,108
1914,보산,01호선,102
2528,여의나루,05호선,527
2531,애오개,05호선,530
2532,충정로,05호선,531
2533,서대문,05호선,532
2534,광화문,05호선,533
2612,역촌,06호선,611
2623,합정,06호선,622
2643,상월곡,06호선,642
2644,돌곶이,06호선,643
2645,석계,06호선,644
2647,화랑대,06호선,646
2819,문정,08호선,818
1902,도봉,01호선,114
1903,도봉산,01호선,113
1904,망월사,01호선,112
1905,회룡,01호선,111
1906,의정부,01호선,110
1909,양주,01호선,107
1911,덕정,01호선,105
1912,지행,01호선,104
1913,동두천중앙,01호선,103
1915,동두천,01호선,101
1916,소요산,01호선,100
1948,원흥,03호선,317
1950,삼송,03호선,318
1951,원당,03호선,316
1952,화정,03호선,315
1956,정발산,03호선,311
2511,방화,05호선,510
2512,개화산,05호선,511
2514,송정,05호선,513
2516,발산,05호선,515
2518,화곡,05호선,517
2520,신정,05호선,519
2521,목동,05호선,520
2522,오목교,05호선,521
2523,양평,05호선,522
2524,영등포구청,05호선,523
2525,영등포시장,05호선,524
2527,여의도,05호선,526
2529,마포,05호선,528
2649,신내,06호선,648
2726,중곡,07호선,724
2727,군자,07호선,725
2728,어린이대공원,07호선,726
2729,건대입구,07호선,727
2730,뚝섬유원지,07호선,728
2731,청담,07호선,729
2732,강남구청,07호선,730
2733,학동,07호선,731
2734,논현,07호선,732
2735,반포,07호선,733
2737,내방,07호선,735
2738,이수,07호선,736
2739,남성,07호선,737
2740,숭실대입구,07호선,738
2818,가락시장,08호선,817
2713,수락산,07호선,711
2741,상도,07호선,739
2742,장승배기,07호선,740
2743,신대방삼거리,07호선,741
2744,보라매,07호선,742
2745,신풍,07호선,743
2820,장지,08호선,819
2821,복정,08호선,820
2536,을지로4가,05호선,535
2537,동대문역사문화공원,05호선,536
2539,신금호,05호선,538
2746,대림,07호선,744
2747,남구로,07호선,745
2748,가산디지털단지,07호선,746
2749,철산,07호선,747
2750,광명사거리,07호선,748
2751,천왕,07호선,749
2752,온수,07호선,750
2811,암사,08호선,810
2812,천호,08호선,811
2813,강동구청,08호선,812
2814,몽촌토성,08호선,813
2540,행당,05호선,539
2541,왕십리,05호선,540
2542,마장,05호선,541
2543,답십리,05호선,542
2544,장한평,05호선,543
2545,군자,05호선,544
2546,아차산,05호선,545
2547,광나루,05호선,546
2548,천호,05호선,547
2550,길동,05호선,549
2551,굽은다리,05호선,550
2552,명일,05호선,551
2554,상일동,05호선,553
2555,둔촌동,05호선,P549
2556,올림픽공원,05호선,P550
2559,개롱,05호선,P553
2560,거여,05호선,P554
2561,마천,05호선,P555
2563,미사,05호선,555
2564,하남풍산,05호선,556
2565,하남시청,05호선,557
2566,하남검단산,05호선,558
2611,응암,06호선,610
2613,불광,06호선,612
2614,독바위,06호선,613
2615,연신내,06호선,614
2616,구산,06호선,615
2617,새절,06호선,616
2618,증산,06호선,617
2619,디지털미디어시티,06호선,618
2621,마포구청,06호선,620
2622,망원,06호선,621
2624,상수,06호선,623
2627,공덕,06호선,626
2628,효창공원앞,06호선,627
2629,삼각지,06호선,628
2631,이태원,06호선,630
2632,한강진,06호선,631
2633,버티고개,06호선,632
2634,약수,06호선,633
2635,청구,06호선,634
2636,신당,06호선,635
2637,동묘앞,06호선,636
2638,창신,06호선,637
2639,보문,06호선,638
2641,고려대,06호선,640
2642,월곡,06호선,641
2646,태릉입구,06호선,645
2648,봉화산,06호선,647
2711,장암,07호선,709
2712,도봉산,07호선,710
2714,마들,07호선,712
2715,노원,07호선,713
2716,중계,07호선,714
2717,하계,07호선,715
2718,공릉,07호선,716
2719,태릉입구,07호선,717
2720,먹골,07호선,718
2721,중화,07호선,719
2722,상봉,07호선,720
2723,면목,07호선,721
2725,용마산,07호선,723
2736,고속터미널,07호선,734
2822,산성,08호선,822
2823,남한산성입구,08호선,823
2824,단대오거리,08호선,824
2825,신흥,08호선,825
2826,수진,08호선,826
2827,모란,08호선,827
2828,남위례,08호선,821
150,서울역,01호선,133
151,시청,01호선,132
152,종각,01호선,131
153,종로3가,01호선,130
154,종로5가,01호선,129
155,동대문,01호선,128
156,신설동,01호선,126
157,제기동,01호선,125
158,청량리,01호선,124
159,동묘앞,01호선,127
200,까치산,02호선,234-4
201,시청,02호선,201
202,을지로입구,02호선,202
