,연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
57,2022,8,27,토,약한눈비,21.5,17.6,25.5,17.6
58,2022,8,28,일,맑음,22.6,16.1,28.4,0.0
59,2022,8,29,월,약한눈비,21.0,19.5,22.5,2.2
60,2022,8,30,화,약한눈비,19.1,17.9,20.3,35.8
61,2022,8,31,수,맑음,21.7,19.6,24.9,0.0
62,2022,9,1,목,맑음,24.0,18.3,30.4,0.0
63,2022,9,2,금,맑음,24.7,20.3,29.8,0.0
64,2022,9,3,토,맑음,24.2,20.5,29.2,0.0
65,2022,9,4,일,약한눈비,22.3,19.8,24.0,33.8
66,2022,9,5,월,강한눈비,19.2,17.7,22.7,120.0
67,2022,9,6,화,약한눈비,21.0,17.0,26.3,25.3
68,2022,9,7,수,맑음,22.8,17.9,28.1,0.0
69,2022,9,8,목,맑음,23.2,16.7,29.5,0.0
70,2022,9,9,금,맑음,24.3,18.9,30.8,0.0
71,2022,9,10,토,맑음,23.6,19.0,28.4,0.0
72,2022,9,11,일,약한눈비,23.3,20.6,26.4,0.1
73,2022,9,12,월,맑음,23.8,20.3,27.5,0.0
74,2022,9,13,화,맑음,24.3,21.8,26.4,0.0
75,2022,9,14,수,맑음,24.6,22.7,27.9,0.0
76,2022,9,15,목,약한눈비,25.2,22.0,28.3,0.1
77,2022,9,16,금,약한눈비,25.7,23.4,29.9,14.6
78,2022,9,17,토,약한눈비,25.6,23.3,29.4,4.3
79,2022,9,18,일,맑음,27.1,23.0,32.5,0.0
80,2022,9,19,월,맑음,24.6,19.5,29.6,0.0
81,2022,9,20,화,맑음,19.9,16.1,24.6,0.0
82,2022,9,21,수,맑음,19.4,13.0,25.6,0.0
83,2022,9,22,목,맑음,19.8,14.2,24.7,0.0
84,2022,9,23,금,약한눈비,17.5,14.7,22.2,3.3
85,2022,9,24,토,맑음,18.5,12.3,24.2,0.0
86,2022,9,25,일,맑음,19.6,15.4,25.2,0.0
87,2022,9,26,월,맑음,20.0,14.8,25.4,0.0
88,2022,9,27,화,맑음,20.9,14.0,28.0,0.0
89,2022,9,28,수,맑음,20.4,16.1,26.1,0.0
90,2022,9,29,목,맑음,20.4,16.4,26.5,0.0
91,2022,9,30,금,맑음,20.7,14.8,27.7,0.0
92,2022,10,1,토,맑음,20.9,14.4,27.6,0.0
93,2022,10,2,일,약한눈비,19.4,17.2,21.6,15.8
94,2022,10,3,월,약한눈비,21.4,17.5,23.4,76.0
95,2022,10,4,화,약한눈비,17.9,14.2,23.0,11.8
96,2022,10,5,수,약한눈비,16.6,14.1,21.6,0.1
97,2022,10,6,목,맑음,15.8,12.7,19.1,0.0
98,2022,10,7,금,맑음,14.3,11.0,18.6,0.0
99,2022,10,8,토,맑음,15.8,11.1,21.6,0.0
100,2022,10,9,일,약한눈비,13.1,10.7,14.5,20.4
101,2022,10,10,월,맑음,9.9,8.2,11.9,0.0
102,2022,10,11,화,맑음,11.1,7.4,16.4,0.0
103,2022,10,12,수,맑음,13.5,6.5,20.6,0.0
104,2022,10,13,목,맑음,16.3,10.7,22.7,0.0
105,2022,10,14,금,맑음,17.1,12.4,23.0,0.0
106,2022,10,15,토,맑음,18.2,12.6,24.4,0.0
107,2022,10,16,일,맑음,16.9,15.1,20.5,0.0
108,2022,10,17,월,맑음,11.2,7.4,15.1,0.0
109,2022,10,18,화,맑음,9.4,5.0,14.2,0.0
110,2022,10,19,수,맑음,10.5,4.4,16.8,0.0
111,2022,10,20,목,맑음,12.9,6.0,19.7,0.0
112,2022,10,21,금,맑음,14.0,8.8,20.9,0.0
113,2022,10,22,토,맑음,15.1,10.5,20.8,0.0
114,2022,10,23,일,맑음,14.0,10.4,18.6,0.0
115,2022,10,24,월,맑음,10.6,7.5,14.8,0.0
116,2022,10,25,화,맑음,11.3,5.9,17.6,0.0
117,2022,10,26,수,맑음,12.9,8.0,17.8,0.0
118,2022,10,27,목,맑음,13.2,8.6,18.9,0.0
119,2022,10,28,금,맑음,13.6,8.2,20.6,0.0
120,2022,10,29,토,맑음,14.8,10.2,21.3,0.0
121,2022,10,30,일,맑음,14.9,10.4,21.3,0.0
122,2022,10,31,월,맑음,14.9,11.2,21.1,0.0
123,2022,11,1,화,맑음,13.1,9.4,17.8,0.0
124,2022,11,2,수,맑음,11.1,5.5,17.9,0.0
125,2022,11,3,목,맑음,9.3,5.6,13.4,0.0
126,2022,11,4,금,맑음,4.9,1.6,9.8,0.0
127,2022,11,5,토,맑음,6.5,0.8,13.6,0.0
128,2022,11,6,일,맑음,9.6,3.7,16.4,0.0
129,2022,11,7,월,맑음,11.4,6.1,16.6,0.0
130,2022,11,8,화,맑음,12.9,9.7,17.9,0.0
131,2022,11,9,수,맑음,11.4,6.7,16.0,0.0
132,2022,11,10,목,맑음,13.5,8.8,19.1,0.0
133,2022,11,11,금,맑음,15.6,10.9,22.1,0.0
134,2022,11,12,토,약한눈비,16.3,11.6,22.0,57.9
135,2022,11,13,일,맑음,10.3,8.7,17.3,0.0
136,2022,11,14,월,맑음,9.7,5.9,13.8,0.0
137,2022,11,15,화,약한눈비,8.1,4.0,12.3,1.6
138,2022,11,16,수,맑음,8.5,5.5,13.0,0.0
139,2022,11,17,목,맑음,10.2,5.4,16.6,0.0
140,2022,11,18,금,맑음,11.0,5.3,18.1,0.0
141,2022,11,19,토,맑음,12.9,8.7,19.2,0.0
142,2022,11,20,일,맑음,13.7,9.5,20.2,0.0
143,2022,11,21,월,맑음,11.8,9.3,16.2,0.0
144,2022,11,22,화,맑음,10.7,7.0,13.7,0.0
145,2022,11,23,수,맑음,10.8,6.8,15.2,0.0
146,2022,11,24,목,맑음,9.4,5.9,14.1,0.0
147,2022,11,25,금,약한눈비,12.3,7.1,17.8,1.7
148,2022,11,26,토,맑음,6.7,1.0,12.9,0.0
149,2022,11,27,일,맑음,5.4,-1.1,11.5,0.0
150,2022,11,28,월,약한눈비,12.3,7.5,15.0,19.5
151,2022,11,29,화,약한눈비,6.9,-1.6,15.0,3.8
152,2022,11,30,수,맑음,-5.4,-8.1,-1.6,0.0
153,2022,12,1,목,맑음,-5.4,-9.4,-1.2,0.0
154,2022,12,2,금,맑음,-2.5,-7.6,3.0,0.0
155,2022,12,3,토,약한눈비,2.1,-0.3,7.0,1.1
156,2022,12,4,일,맑음,-3.5,-5.2,-0.2,0.0
157,2022,12,5,월,맑음,-3.1,-7.0,1.9,0.0
158,2022,12,6,화,약한눈비,0.9,-3.9,5.3,0.1
159,2022,12,7,수,약한눈비,4.9,1.2,9.0,0.1
160,2022,12,8,목,맑음,3.7,0.1,9.1,0.0
161,2022,12,9,금,맑음,4.5,0.9,10.2,0.0
162,2022,12,10,토,맑음,2.6,-0.6,6.7,0.0
163,2022,12,11,일,맑음,1.6,-1.5,6.8,0.0
164,2022,12,12,월,약한눈비,2.0,-2.0,6.3,5.4
165,2022,12,13,화,약한눈비,0.0,-6.4,3.1,0.6
166,2022,12,14,수,맑음,-8.4,-11.0,-4.9,0.0
167,2022,12,15,목,약한눈비,-4.5,-8.5,-1.3,2.4
168,2022,12,16,금,맑음,-6.3,-9.6,-2.2,0.0
169,2022,12,17,토,약한눈비,-7.0,-9.8,-3.2,0.2
170,2022,12,18,일,폭염/한파,-9.5,-12.4,-5.6,0.0
171,2022,12,19,월,폭염/한파,-7.0,-12.0,-2.5,0.0
172,2022,12,20,화,맑음,-3.2,-9.5,2.9,0.0
173,2022,12,21,수,약한눈비,-0.1,-2.6,2.6,3.6
174,2022,12,22,목,맑음,-7.8,-11.3,-2.6,0.0
175,2022,12,23,금,폭염/한파,-11.8,-13.7,-8.6,0.0
176,2022,12,24,토,폭염/한파,-8.4,-13.5,-2.0,0.0
177,2022,12,25,일,맑음,-5.4,-9.6,0.2,0.0
178,2022,12,26,월,맑음,-3.9,-7.9,1.7,0.0
179,2022,12,27,화,맑음,-2.6,-7.3,3.3,0.0
180,2022,12,28,수,약한눈비,-3.3,-6.0,0.1,0.1
181,2022,12,29,목,맑음,-2.9,-7.8,2.1,0.0
182,2022,12,30,금,맑음,-1.8,-4.4,2.3,0.0
183,2022,12,31,토,맑음,-1.2,-5.1,2.1,0.0
184,2023,1,1,일,맑음,-0.2,-4.3,3.8,0.0
185,2023,1,2,월,맑음,-4.5,-7.4,-0.4,0.0
186,2023,1,3,화,맑음,-5.0,-9.0,0.6,0.0
187,2023,1,4,수,맑음,-1.8,-5.7,3.3,0.0
188,2023,1,5,목,맑음,-1.6,-5.6,3.6,0.0
189,2023,1,6,금,약한눈비,0.6,-4.7,5.7,3.9
190,2023,1,7,토,약한눈비,1.5,-1.4,3.8,0.1
191,2023,1,8,일,맑음,1.3,-3.7,6.3,0.0
192,2023,1,9,월,맑음,3.1,-1.3,7.0,0.0
193,2023,1,10,화,맑음,1.6,-3.9,9.1,0.0
194,2023,1,11,수,맑음,2.6,-2.0,9.2,0.0
195,2023,1,12,목,맑음,5.9,-0.6,12.5,0.0
196,2023,1,13,금,약한눈비,8.3,5.1,10.1,37.3
197,2023,1,14,토,약한눈비,6.6,3.8,8.4,1.6
198,2023,1,15,일,약한눈비,-0.2,-3.5,3.8,3.2
199,2023,1,16,월,맑음,-4.6,-6.8,-1.2,0.0
200,2023,1,17,화,맑음,-3.7,-7.0,-0.4,0.0
201,2023,1,18,수,맑음,-1.9,-4.6,2.2,0.0
202,2023,1,19,목,약한눈비,-0.4,-6.0,4.3,1.0
203,2023,1,20,금,맑음,-3.3,-7.7,2.0,0.0
204,2023,1,21,토,맑음,-4.5,-10.5,1.5,0.0
205,2023,1,22,일,맑음,-0.6,-2.8,2.6,0.0
206,2023,1,23,월,맑음,-0.8,-6.9,4.6,0.0
207,2023,1,24,화,폭염/한파,-14.7,-17.0,-6.9,0.0
208,2023,1,25,수,폭염/한파,-11.3,-17.3,-5.4,0.0
209,2023,1,26,목,약한눈비,-6.0,-9.0,-3.5,0.8
210,2023,1,27,금,맑음,-7.3,-9.6,-3.8,0.0
211,2023,1,28,토,맑음,-6.0,-11.2,-0.6,0.0
212,2023,1,29,일,맑음,-1.8,-8.0,4.9,0.0
213,2023,1,30,월,맑음,-0.9,-4.4,4.2,0.0
214,2023,1,31,화,맑음,2.4,-3.5,7.8,0.0
215,2023,2,1,수,맑음,0.9,-3.0,6.0,0.0
216,2023,2,2,목,맑음,-2.4,-5.1,1.4,0.0
217,2023,2,3,금,맑음,-1.6,-3.9,3.4,0.0
218,2023,2,4,토,맑음,-0.2,-5.2,6.0,0.0
219,2023,2,5,일,맑음,1.7,-3.3,7.1,0.0
220,2023,2,6,월,맑음,3.0,-1.7,8.8,0.0
221,2023,2,7,화,맑음,3.5,-0.6,9.5,0.0
222,2023,2,8,수,맑음,2.1,-1.3,7.8,0.0
223,2023,2,9,목,맑음,4.0,-2.8,9.9,0.0
224,2023,2,10,금,약한눈비,3.8,1.1,6.2,0.6
225,2023,2,11,토,맑음,2.8,-1.2,8.5,0.0
226,2023,2,12,일,맑음,3.7,-0.9,7.6,0.0
227,2023,2,13,월,맑음,5.9,2.7,8.4,0.0
228,2023,2,14,화,맑음,1.7,-2.5,6.6,0.0
229,2023,2,15,수,맑음,3.2,-1.2,8.9,0.0
230,2023,2,16,목,맑음,2.3,-0.7,4.5,0.0
231,2023,2,17,금,맑음,3.4,-1.5,9.8,0.0
232,2023,2,18,토,맑음,5.7,3.0,8.1,0.0
233,2023,2,19,일,약한눈비,3.5,0.2,6.1,0.4
234,2023,2,20,월,맑음,-0.5,-3.5,2.4,0.0
235,2023,2,21,화,맑음,-1.3,-5.3,4.8,0.0
236,2023,2,22,수,맑음,1.2,-4.5,8.4,0.0
237,2023,2,23,목,맑음,2.9,-1.8,9.2,0.0
238,2023,2,24,금,맑음,3.5,-0.4,8.5,0.0
239,2023,2,25,토,맑음,0.7,-2.9,5.7,0.0
240,2023,2,26,일,맑음,2.2,-3.4,9.4,0.0
241,2023,2,27,월,맑음,4.4,-1.8,12.4,0.0
242,2023,2,28,화,맑음,4.3,-0.7,8.7,0.0
243,2023,3,1,수,맑음,6.0,2.9,9.0,0.0
244,2023,3,2,목,맑음,2.2,-1.8,6.6,0.0
245,2023,3,3,금,맑음,4.6,-1.9,10.4,0.0
246,2023,3,4,토,맑음,7.7,3.7,14.1,0.0
247,2023,3,5,일,맑음,8.0,2.5,15.4,0.0
248,2023,3,6,월,맑음,9.2,2.2,16.5,0.0
249,2023,3,7,화,맑음,11.7,6.3,19.4,0.0
250,2023,3,8,수,약한눈비,12.5,7.4,17.7,1.2
251,2023,3,9,목,약한눈비,10.3,7.4,13.1,3.7
252,2023,3,10,금,맑음,13.5,6.2,22.2,0.0
253,2023,3,11,토,맑음,15.2,10.2,22.8,0.0
254,2023,3,12,일,약한눈비,5.9,0.6,12.6,5.6
255,2023,3,13,월,맑음,2.9,-1.9,7.6,0.0
256,2023,3,14,화,맑음,9.2,3.3,15.4,0.0
257,2023,3,15,수,맑음,8.6,3.5,14.4,0.0
258,2023,3,16,목,맑음,4.6,0.4,9.0,0.0
259,2023,3,17,금,맑음,7.2,0.7,12.7,0.0
260,2023,3,18,토,맑음,7.7,2.5,14.0,0.0
261,2023,3,19,일,맑음,8.3,2.3,15.2,0.0
262,2023,3,20,월,맑음,9.5,2.6,17.1,0.0
263,2023,3,21,화,맑음,13.0,5.0,22.2,0.0
264,2023,3,22,수,맑음,17.0,9.2,25.1,0.0
265,2023,3,23,목,맑음,17.4,12.3,23.3,0.0
266,2023,3,24,금,맑음,12.5,7.6,18.3,0.0
267,2023,3,25,토,맑음,12.5,8.0,18.7,0.0
268,2023,3,26,일,맑음,9.4,4.7,14.0,0.0
269,2023,3,27,월,맑음,7.3,1.9,14.5,0.0
270,2023,3,28,화,맑음,9.2,2.8,15.7,0.0
271,2023,3,29,수,맑음,11.8,5.1,19.7,0.0
272,2023,3,30,목,맑음,13.3,6.4,21.2,0.0
273,2023,3,31,금,맑음,15.0,7.5,23.9,0.0
274,2023,4,1,토,맑음,17.5,9.4,25.6,0.0
275,2023,4,2,일,맑음,18.8,11.9,25.2,0.0
276,2023,4,3,월,맑음,19.0,11.3,25.9,0.0
277,2023,4,4,화,약한눈비,17.6,12.7,21.7,6.9
278,2023,4,5,수,약한눈비,11.9,8.7,14.9,50.3
279,2023,4,6,목,약한눈비,8.8,7.4,9.7,2.7
280,2023,4,7,금,맑음,8.9,4.6,15.7,0.0
281,2023,4,8,토,맑음,8.8,3.1,14.9,0.0
282,2023,4,9,일,맑음,10.8,3.5,17.8,0.0
283,2023,4,10,월,맑음,13.2,6.2,19.1,0.0
284,2023,4,11,화,약한눈비,13.1,9.2,17.4,2.9
285,2023,4,12,수,맑음,10.1,4.8,15.3,0.0
286,2023,4,13,목,맑음,11.9,5.1,17.2,0.0
287,2023,4,14,금,맑음,16.2,11.9,21.3,0.0
288,2023,4,15,토,약한눈비,13.5,9.3,16.6,4.6
289,2023,4,16,일,맑음,10.8,7.5,16.1,0.0
290,2023,4,17,월,맑음,13.1,6.8,18.1,0.0
291,2023,4,18,화,약한눈비,14.0,10.7,18.4,1.5
292,2023,4,19,수,맑음,19.1,11.5,28.4,0.0
293,2023,4,20,목,약한눈비,15.8,14.5,18.9,0.5
294,2023,4,21,금,맑음,16.7,11.4,22.8,0.0
295,2023,4,22,토,맑음,16.9,12.2,22.5,0.0
296,2023,4,23,일,맑음,16.1,10.7,22.1,0.0
297,2023,4,24,월,맑음,15.8,11.5,21.3,0.0
298,2023,4,25,화,약한눈비,10.9,9.0,13.2,0.4
299,2023,4,26,수,맑음,10.2,7.4,13.5,0.0
300,2023,4,27,목,맑음,12.9,5.1,20.0,0.0
301,2023,4,28,금,약한눈비,15.7,9.0,21.3,1.9
302,2023,4,29,토,약한눈비,13.2,9.9,15.8,25.1
303,2023,4,30,일,약한눈비,12.7,7.9,17.9,0.1
304,2023,5,1,월,맑음,14.6,9.8,20.8,0.0
305,2023,5,2,화,맑음,16.7,9.1,23.7,0.0
306,2023,5,3,수,맑음,19.5,12.4,26.2,0.0
307,2023,5,4,목,맑음,21.4,15.6,25.8,0.0
308,2023,5,5,금,약한눈비,18.4,15.5,21.6,30.2
309,2023,5,6,토,약한눈비,12.6,11.7,15.5,47.5
310,2023,5,7,일,맑음,14.4,11.1,18.6,0.0
311,2023,5,8,월,맑음,15.3,7.9,22.0,0.0
312,2023,5,9,화,맑음,17.0,10.0,24.4,0.0
313,2023,5,10,수,맑음,18.4,10.7,26.0,0.0
314,2023,5,11,목,맑음,19.5,12.8,26.7,0.0
315,2023,5,12,금,맑음,18.4,13.1,24.7,0.0
316,2023,5,13,토,맑음,17.8,12.6,23.9,0.0
317,2023,5,14,일,맑음,18.1,12.9,23.8,0.0
318,2023,5,15,월,맑음,20.6,12.8,27.9,0.0
319,2023,5,16,화,맑음,24.0,17.2,31.2,0.0
320,2023,5,17,수,맑음,23.5,18.6,28.7,0.0
321,2023,5,18,목,약한눈비,21.2,18.8,27.6,1.3
322,2023,5,19,금,맑음,22.3,16.7,27.8,0.0
323,2023,5,20,토,맑음,21.2,16.6,26.7,0.0
324,2023,5,21,일,약한눈비,17.8,15.3,21.9,0.2
325,2023,5,22,월,맑음,20.3,15.9,26.8,0.0
326,2023,5,23,화,맑음,20.5,14.1,26.9,0.0
327,2023,5,24,수,맑음,20.6,14.8,25.9,0.0
328,2023,5,25,목,맑음,21.2,15.7,27.4,0.0
329,2023,5,26,금,약한눈비,21.4,15.8,27.3,0.5
330,2023,5,27,토,약한눈비,19.3,18.6,20.7,31.8
331,2023,5,28,일,약한눈비,19.2,18.4,20.2,41.8
332,2023,5,29,월,약한눈비,23.2,19.0,28.5,2.3
333,2023,5,30,화,맑음,24.0,20.5,28.9,0.0
334,2023,5,31,수,맑음,22.8,18.8,28.2,0.0
335,2023,6,1,목,맑음,22.8,19.7,26.3,0.0
336,2023,6,2,금,맑음,20.4,17.9,25.0,0.0
337,2023,6,3,토,맑음,22.0,16.6,27.8,0.0
338,2023,6,4,일,맑음,22.1,16.9,28.0,0.0
339,2023,6,5,월,맑음,21.5,17.6,26.3,0.0
340,2023,6,6,화,맑음,20.3,17.3,25.2,0.0
341,2023,6,7,수,맑음,21.4,18.9,25.7,0.0
342,2023,6,8,목,약한눈비,20.4,18.3,23.9,1.9
343,2023,6,9,금,약한눈비,23.3,18.3,28.4,1.2
344,2023,6,10,토,약한눈비,23.2,19.6,28.5,0.8
345,2023,6,11,일,약한눈비,22.1,17.9,27.3,32.2
346,2023,6,12,월,맑음,22.2,18.4,27.5,0.0
347,2023,6,13,화,맑음,22.0,19.2,26.0,0.0
348,2023,6,14,수,약한눈비,20.6,17.5,25.0,30.6
349,2023,6,15,목,맑음,22.7,17.7,28.3,0.0
350,2023,6,16,금,맑음,23.7,19.1,28.9,0.0
351,2023,6,17,토,맑음,24.2,18.9,30.2,0.0
352,2023,6,18,일,맑음,25.9,20.8,32.6,0.0
353,2023,6,19,월,폭염/한파,28.5,23.3,34.0,0.0
354,2023,6,20,화,약한눈비,24.7,21.4,26.4,6.4
355,2023,6,21,수,약한눈비,20.5,19.2,22.1,24.9
356,2023,6,22,목,맑음,22.5,18.9,26.4,0.0
357,2023,6,23,금,맑음,24.4,20.0,29.9,0.0
358,2023,6,24,토,맑음,26.4,21.9,31.1,0.0
359,2023,6,25,일,폭염/한파,28.2,22.8,33.1,0.0
360,2023,6,26,월,약한눈비,24.2,22.3,27.5,30.3
361,2023,6,27,화,약한눈비,25.3,21.4,29.1,2.5
362,2023,6,28,수,맑음,26.5,24.2,30.1,0.0
363,2023,6,29,목,약한눈비,24.2,23.2,25.9,63.8
364,2023,6,30,금,약한눈비,25.3,23.2,29.1,1.0
365,2023,7,1,토,맑음,27.7,23.3,32.9,0.0
366,2023,7,2,일,맑음,26.7,23.5,30.6,0.0
367,2023,7,3,월,폭염/한파,29.1,24.1,34.9,0.0
368,2023,7,4,화,약한눈비,26.1,24.5,29.2,61.8
369,2023,7,5,수,약한눈비,24.5,22.1,27.1,15.3
370,2023,7,6,목,맑음,27.3,22.4,31.8,0.0
371,2023,7,7,금,맑음,26.7,23.3,31.4,0.0
372,2023,7,8,토,맑음,25.6,22.4,29.7,0.0
373,2023,7,9,일,약한눈비,24.7,21.6,27.0,47.5
374,2023,7,10,월,약한눈비,26.3,22.9,30.9,11.5
375,2023,7,11,화,약한눈비,23.5,21.6,25.9,58.3
376,2023,7,12,수,약한눈비,25.8,22.0,29.1,0.7
377,2023,7,13,목,약한눈비,25.2,24.7,26.5,91.6
378,2023,7,14,금,약한눈비,24.6,23.9,25.1,72.7
379,2023,7,15,토,약한눈비,24.5,23.7,25.7,2.3
380,2023,7,16,일,약한눈비,24.6,23.7,25.4,9.7
381,2023,7,17,월,약한눈비,25.5,23.7,27.8,1.4
382,2023,7,18,화,약한눈비,25.2,24.1,27.7,2.3
383,2023,7,19,수,맑음,27.2,22.5,32.4,0.0
384,2023,7,20,목,맑음,27.9,24.0,32.8,0.0
385,2023,7,21,금,폭염/한파,29.5,24.6,34.3,0.0
386,2023,7,22,토,약한눈비,27.7,24.6,32.5,12.3
387,2023,7,23,일,약한눈비,25.2,24.5,25.8,40.2
388,2023,7,24,월,약한눈비,26.9,24.6,30.0,0.4
389,2023,7,25,화,약한눈비,27.8,25.8,30.5,5.6
390,2023,7,26,수,약한눈비,27.6,24.9,31.1,1.0
391,2023,7,27,목,맑음,28.4,24.4,32.2,0.0
392,2023,7,28,금,폭염/한파,29.5,25.4,34.1,0.0
393,2023,7,29,토,폭염/한파,29.1,26.1,33.3,0.0
394,2023,7,30,일,폭염/한파,28.8,24.9,34.9,25.0
395,2023,7,31,월,폭염/한파,28.7,25.6,33.4,0.3
396,2023,8,1,화,폭염/한파,29.9,25.5,34.2,0.0
397,2023,8,2,수,폭염/한파,29.7,26.8,33.7,0.0
398,2023,8,3,목,폭염/한파,29.5,25.8,33.8,0.0
399,2023,8,4,금,폭염/한파,30.0,26.5,34.4,0.0
400,2023,8,5,토,폭염/한파,30.3,26.4,34.9,0.0
401,2023,8,6,일,폭염/한파,29.8,27.0,33.0,4.9
402,2023,8,7,월,폭염/한파,30.4,27.3,34.6,0.0
403,2023,8,8,화,폭염/한파,30.9,26.4,35.8,0.0
404,2023,8,9,수,약한눈비,28.3,25.1,31.6,0.2
405,2023,8,10,목,약한눈비,22.2,20.9,25.1,86.1
406,2023,8,11,금,약한눈비,23.5,21.6,24.9,46.7
407,2023,8,12,토,약한눈비,23.3,22.5,24.1,1.5
408,2023,8,13,일,맑음,27.0,22.6,31.1,0.0
409,2023,8,14,월,맑음,28.1,24.8,31.9,0.0
410,2023,8,15,화,맑음,28.6,24.7,32.7,0.0
411,2023,8,16,수,약한눈비,27.3,24.7,31.6,0.3
412,2023,8,17,목,맑음,28.2,24.5,32.4,0.0
413,2023,8,18,금,폭염/한파,29.1,25.5,33.3,0.1
414,2023,8,19,토,폭염/한파,29.1,26.4,33.6,0.0
415,2023,8,20,일,맑음,28.3,25.5,31.8,0.0
